yolculuk_tarihi,tatil_gunu_mu,Pazartesi,Salı,Çarşamba,Perşembe,Cuma,Cumartesi,Pazar,saat_sin,saat_cos,yolcu_sayisi
2023-01-06,0,0,0,0,0,1,0,0,0.7071067811865477,-0.7071067811865475,19039
2023-01-06,0,0,0,0,0,1,0,0,0.4999999999999999,-0.8660254037844386,14132
2023-01-06,0,0,0,0,0,1,0,0,0.258819045102521,-0.9659258262890684,14590
2023-01-06,0,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,18073
2023-01-06,0,0,0,0,0,1,0,0,-0.25881904510252085,-0.9659258262890684,17189
2023-01-06,0,0,0,0,0,1,0,0,-0.4999999999999997,-0.8660254037844387,19913
2023-01-06,0,0,0,0,0,1,0,0,-0.7071067811865471,-0.707106781186548,24174
2023-01-06,0,0,0,0,0,1,0,0,-0.8660254037844383,-0.5000000000000003,27231
2023-01-06,0,0,0,0,0,1,0,0,-0.9659258262890684,-0.2588190451025207,32095
2023-01-06,0,0,0,0,0,1,0,0,-1.0,-1.8369701987210297e-16,38167
2023-01-06,0,0,0,0,0,1,0,0,-0.9659258262890685,0.25881904510252035,30873
2023-01-06,0,0,0,0,0,1,0,0,-0.8660254037844385,0.5,17879
2023-01-06,0,0,0,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,12682
2023-01-06,0,0,0,0,0,1,0,0,-0.5000000000000003,0.8660254037844383,11783
2023-01-06,0,0,0,0,0,1,0,0,-0.25881904510252157,0.9659258262890682,6665
2023-01-07,0,0,0,0,0,0,1,0,0.0,1.0,1393
2023-01-07,0,0,0,0,0,0,1,0,0.9659258262890684,0.2588190451025208,1038
2023-01-07,0,0,0,0,0,0,1,0,1.0,6.123233995736766e-17,5651
2023-01-07,0,0,0,0,0,0,1,0,0.9659258262890685,-0.2588190451025207,14223
2023-01-07,0,0,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999997,18785
2023-01-07,0,0,0,0,0,0,1,0,0.7071067811865477,-0.7071067811865475,13600
2023-01-07,0,0,0,0,0,0,1,0,0.4999999999999999,-0.8660254037844386,12950
2023-01-07,0,0,0,0,0,0,1,0,0.258819045102521,-0.9659258262890684,13970
2023-01-07,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,18842
2023-01-07,0,0,0,0,0,0,1,0,-0.25881904510252085,-0.9659258262890684,24931
2023-01-07,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844387,27305
2023-01-07,0,0,0,0,0,0,1,0,-0.7071067811865471,-0.707106781186548,26934
2023-01-07,0,0,0,0,0,0,1,0,-0.8660254037844383,-0.5000000000000003,26923
2023-01-07,0,0,0,0,0,0,1,0,-0.9659258262890684,-0.2588190451025207,27724
2023-01-07,0,0,0,0,0,0,1,0,-1.0,-1.8369701987210297e-16,28076
2023-01-07,0,0,0,0,0,0,1,0,-0.9659258262890685,0.25881904510252035,22375
2023-01-07,0,0,0,0,0,0,1,0,-0.8660254037844385,0.5,16177
2023-01-07,0,0,0,0,0,0,1,0,-0.7071067811865477,0.7071067811865474,13410
2023-01-07,0,0,0,0,0,0,1,0,-0.5000000000000003,0.8660254037844383,12091
2023-01-07,0,0,0,0,0,0,1,0,-0.25881904510252157,0.9659258262890682,7296
2023-01-08,0,0,0,0,0,0,0,1,0.0,1.0,1784
2023-01-08,0,0,0,0,0,0,0,1,0.9659258262890684,0.2588190451025208,753
2023-01-08,0,0,0,0,0,0,0,1,1.0,6.123233995736766e-17,3307
2023-01-08,0,0,0,0,0,0,0,1,0.9659258262890685,-0.2588190451025207,5591
2023-01-08,0,0,0,0,0,0,0,1,0.8660254037844387,-0.4999999999999997,8128
2023-01-08,0,0,0,0,0,0,0,1,0.7071067811865477,-0.7071067811865475,8007
2023-01-08,0,0,0,0,0,0,0,1,0.4999999999999999,-0.8660254037844386,9724
2023-01-08,0,0,0,0,0,0,0,1,0.258819045102521,-0.9659258262890684,10383
2023-01-08,0,0,0,0,0,0,0,1,1.2246467991473532e-16,-1.0,13701
2023-01-08,0,0,0,0,0,0,0,1,-0.25881904510252085,-0.9659258262890684,17627
2023-01-08,0,0,0,0,0,0,0,1,-0.4999999999999997,-0.8660254037844387,20647
2023-01-08,0,0,0,0,0,0,0,1,-0.7071067811865471,-0.707106781186548,20834
2023-01-08,0,0,0,0,0,0,0,1,-0.8660254037844383,-0.5000000000000003,21718
2023-01-08,0,0,0,0,0,0,0,1,-0.9659258262890684,-0.2588190451025207,23491
2023-01-08,0,0,0,0,0,0,0,1,-1.0,-1.8369701987210297e-16,22929
2023-01-08,0,0,0,0,0,0,0,1,-0.9659258262890685,0.25881904510252035,17164
2023-01-08,0,0,0,0,0,0,0,1,-0.8660254037844385,0.5,12148
2023-01-08,0,0,0,0,0,0,0,1,-0.7071067811865477,0.7071067811865474,13169
2023-01-08,0,0,0,0,0,0,0,1,-0.5000000000000003,0.8660254037844383,10856
2023-01-08,0,0,0,0,0,0,0,1,-0.25881904510252157,0.9659258262890682,5749
2023-01-09,0,1,0,0,0,0,0,0,0.0,1.0,291
2023-01-09,0,1,0,0,0,0,0,0,0.9659258262890684,0.2588190451025208,1295
2023-01-09,0,1,0,0,0,0,0,0,1.0,6.123233995736766e-17,9888
2023-01-09,0,1,0,0,0,0,0,0,0.9659258262890685,-0.2588190451025207,32333
2023-01-09,0,1,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999997,34793
2023-01-09,0,1,0,0,0,0,0,0,0.7071067811865477,-0.7071067811865475,21178
2023-01-09,0,1,0,0,0,0,0,0,0.4999999999999999,-0.8660254037844386,15712
2023-01-09,0,1,0,0,0,0,0,0,0.258819045102521,-0.9659258262890684,16794
2023-01-09,0,1,0,0,0,0,0,0,1.2246467991473532e-16,-1.0,19009
2023-01-09,0,1,0,0,0,0,0,0,-0.25881904510252085,-0.9659258262890684,19703
2023-01-09,0,1,0,0,0,0,0,0,-0.4999999999999997,-0.8660254037844387,19879
2023-01-09,0,1,0,0,0,0,0,0,-0.7071067811865471,-0.707106781186548,25810
2023-01-09,0,1,0,0,0,0,0,0,-0.8660254037844383,-0.5000000000000003,26415
2023-01-09,0,1,0,0,0,0,0,0,-0.9659258262890684,-0.2588190451025207,30667
2023-01-09,0,1,0,0,0,0,0,0,-1.0,-1.8369701987210297e-16,37548
2023-01-09,0,1,0,0,0,0,0,0,-0.9659258262890685,0.25881904510252035,29681
2023-01-09,0,1,0,0,0,0,0,0,-0.8660254037844385,0.5,16292
2023-01-09,0,1,0,0,0,0,0,0,-0.7071067811865477,0.7071067811865474,11214
2023-01-09,0,1,0,0,0,0,0,0,-0.5000000000000003,0.8660254037844383,9361
2023-01-09,0,1,0,0,0,0,0,0,-0.25881904510252157,0.9659258262890682,4828
2023-01-10,0,0,1,0,0,0,0,0,0.0,1.0,161
2023-01-10,0,0,1,0,0,0,0,0,0.9659258262890684,0.2588190451025208,1186
2023-01-10,0,0,1,0,0,0,0,0,1.0,6.123233995736766e-17,9178
2023-01-10,0,0,1,0,0,0,0,0,0.9659258262890685,-0.2588190451025207,32022
2023-01-10,0,0,1,0,0,0,0,0,0.8660254037844387,-0.4999999999999997,35122
2023-01-10,0,0,1,0,0,0,0,0,0.7071067811865477,-0.7071067811865475,20111
2023-01-10,0,0,1,0,0,0,0,0,0.4999999999999999,-0.8660254037844386,15888
2023-01-10,0,0,1,0,0,0,0,0,0.258819045102521,-0.9659258262890684,16029
2023-01-10,0,0,1,0,0,0,0,0,1.2246467991473532e-16,-1.0,18675
2023-01-10,0,0,1,0,0,0,0,0,-0.25881904510252085,-0.9659258262890684,19296
2023-01-10,0,0,1,0,0,0,0,0,-0.4999999999999997,-0.8660254037844387,19920
2023-01-10,0,0,1,0,0,0,0,0,-0.7071067811865471,-0.707106781186548,24958
2023-01-10,0,0,1,0,0,0,0,0,-0.8660254037844383,-0.5000000000000003,26062
2023-01-10,0,0,1,0,0,0,0,0,-0.9659258262890684,-0.2588190451025207,31574
2023-01-10,0,0,1,0,0,0,0,0,-1.0,-1.8369701987210297e-16,36335
2023-01-10,0,0,1,0,0,0,0,0,-0.9659258262890685,0.25881904510252035,28202
2023-01-10,0,0,1,0,0,0,0,0,-0.8660254037844385,0.5,15896
2023-01-10,0,0,1,0,0,0,0,0,-0.7071067811865477,0.7071067811865474,11280
2023-01-10,0,0,1,0,0,0,0,0,-0.5000000000000003,0.8660254037844383,9671
2023-01-10,0,0,1,0,0,0,0,0,-0.25881904510252157,0.9659258262890682,4908
2023-01-11,0,0,0,1,0,0,0,0,0.0,1.0,189
2023-01-11,0,0,0,1,0,0,0,0,0.9659258262890684,0.2588190451025208,1128
2023-01-11,0,0,0,1,0,0,0,0,1.0,6.123233995736766e-17,9270
2023-01-11,0,0,0,1,0,0,0,0,0.9659258262890685,-0.2588190451025207,31309
2023-01-11,0,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999997,35078
2023-01-11,0,0,0,1,0,0,0,0,0.7071067811865477,-0.7071067811865475,20020
2023-01-11,0,0,0,1,0,0,0,0,0.4999999999999999,-0.8660254037844386,15960
2023-01-11,0,0,0,1,0,0,0,0,0.258819045102521,-0.9659258262890684,15345
2023-01-11,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0,18930
2023-01-11,0,0,0,1,0,0,0,0,-0.25881904510252085,-0.9659258262890684,19207
2023-01-11,0,0,0,1,0,0,0,0,-0.4999999999999997,-0.8660254037844387,19500
2023-01-11,0,0,0,1,0,0,0,0,-0.7071067811865471,-0.707106781186548,23923
2023-01-11,0,0,0,1,0,0,0,0,-0.8660254037844383,-0.5000000000000003,26290
2023-01-11,0,0,0,1,0,0,0,0,-0.9659258262890684,-0.2588190451025207,30959
2023-01-11,0,0,0,1,0,0,0,0,-1.0,-1.8369701987210297e-16,35752
2023-01-11,0,0,0,1,0,0,0,0,-0.9659258262890685,0.25881904510252035,28005
2023-01-11,0,0,0,1,0,0,0,0,-0.8660254037844385,0.5,15803
2023-01-11,0,0,0,1,0,0,0,0,-0.7071067811865477,0.7071067811865474,11127
2023-01-11,0,0,0,1,0,0,0,0,-0.5000000000000003,0.8660254037844383,9841
2023-01-11,0,0,0,1,0,0,0,0,-0.25881904510252157,0.9659258262890682,5213
2023-01-12,0,0,0,0,1,0,0,0,0.0,1.0,206
2023-01-12,0,0,0,0,1,0,0,0,0.9659258262890684,0.2588190451025208,1182
2023-01-12,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17,9200
2023-01-12,0,0,0,0,1,0,0,0,0.9659258262890685,-0.2588190451025207,30510
2023-01-12,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999997,34041
2023-01-12,0,0,0,0,1,0,0,0,0.7071067811865477,-0.7071067811865475,20492
2023-01-12,0,0,0,0,1,0,0,0,0.4999999999999999,-0.8660254037844386,15728
2023-01-12,0,0,0,0,1,0,0,0,0.258819045102521,-0.9659258262890684,15600
2023-01-12,0,0,0,0,1,0,0,0,1.2246467991473532e-16,-1.0,18677
2023-01-12,0,0,0,0,1,0,0,0,-0.25881904510252085,-0.9659258262890684,18949
2023-01-12,0,0,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844387,19922
2023-01-12,0,0,0,0,1,0,0,0,-0.7071067811865471,-0.707106781186548,24017
2023-01-12,0,0,0,0,1,0,0,0,-0.8660254037844383,-0.5000000000000003,26805
2023-01-12,0,0,0,0,1,0,0,0,-0.9659258262890684,-0.2588190451025207,31471
2023-01-12,0,0,0,0,1,0,0,0,-1.0,-1.8369701987210297e-16,37039
2023-01-12,0,0,0,0,1,0,0,0,-0.9659258262890685,0.25881904510252035,28049
2023-01-12,0,0,0,0,1,0,0,0,-0.8660254037844385,0.5,15818
2023-01-12,0,0,0,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,11214
2023-01-12,0,0,0,0,1,0,0,0,-0.5000000000000003,0.8660254037844383,9784
2023-01-12,0,0,0,0,1,0,0,0,-0.25881904510252157,0.9659258262890682,5294
2023-01-13,0,0,0,0,0,1,0,0,0.0,1.0,183
2023-01-13,0,0,0,0,0,1,0,0,0.9659258262890684,0.2588190451025208,1167
2023-01-13,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,8948
2023-01-13,0,0,0,0,0,1,0,0,0.9659258262890685,-0.2588190451025207,29791
2023-01-13,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999997,32792
2023-01-13,0,0,0,0,0,1,0,0,0.7071067811865477,-0.7071067811865475,19304
2023-01-13,0,0,0,0,0,1,0,0,0.4999999999999999,-0.8660254037844386,15210
2023-01-13,0,0,0,0,0,1,0,0,0.258819045102521,-0.9659258262890684,14863
2023-01-13,0,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,18073
2023-01-13,0,0,0,0,0,1,0,0,-0.25881904510252085,-0.9659258262890684,17411
2023-01-13,0,0,0,0,0,1,0,0,-0.4999999999999997,-0.8660254037844387,20520
2023-01-13,0,0,0,0,0,1,0,0,-0.7071067811865471,-0.707106781186548,24497
2023-01-13,0,0,0,0,0,1,0,0,-0.8660254037844383,-0.5000000000000003,27078
2023-01-13,0,0,0,0,0,1,0,0,-0.9659258262890684,-0.2588190451025207,31712
2023-01-13,0,0,0,0,0,1,0,0,-1.0,-1.8369701987210297e-16,36425
2023-01-13,0,0,0,0,0,1,0,0,-0.9659258262890685,0.25881904510252035,29439
2023-01-13,0,0,0,0,0,1,0,0,-0.8660254037844385,0.5,16609
2023-01-13,0,0,0,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,11773
2023-01-13,0,0,0,0,0,1,0,0,-0.5000000000000003,0.8660254037844383,11345
2023-01-13,0,0,0,0,0,1,0,0,-0.25881904510252157,0.9659258262890682,6611
2023-01-14,0,0,0,0,0,0,1,0,0.0,1.0,1346
2023-01-14,0,0,0,0,0,0,1,0,0.9659258262890684,0.2588190451025208,997
2023-01-14,0,0,0,0,0,0,1,0,1.0,6.123233995736766e-17,5762
2023-01-14,0,0,0,0,0,0,1,0,0.9659258262890685,-0.2588190451025207,14136
2023-01-14,0,0,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999997,17800
2023-01-14,0,0,0,0,0,0,1,0,0.7071067811865477,-0.7071067811865475,13718
2023-01-14,0,0,0,0,0,0,1,0,0.4999999999999999,-0.8660254037844386,12259
2023-01-14,0,0,0,0,0,0,1,0,0.258819045102521,-0.9659258262890684,13534
2023-01-14,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,18276
2023-01-14,0,0,0,0,0,0,1,0,-0.25881904510252085,-0.9659258262890684,24195
2023-01-14,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844387,26058
2023-01-14,0,0,0,0,0,0,1,0,-0.7071067811865471,-0.707106781186548,25473
2023-01-14,0,0,0,0,0,0,1,0,-0.8660254037844383,-0.5000000000000003,25719
2023-01-14,0,0,0,0,0,0,1,0,-0.9659258262890684,-0.2588190451025207,27697
2023-01-14,0,0,0,0,0,0,1,0,-1.0,-1.8369701987210297e-16,26991
2023-01-14,0,0,0,0,0,0,1,0,-0.9659258262890685,0.25881904510252035,22304
2023-01-14,0,0,0,0,0,0,1,0,-0.8660254037844385,0.5,15546
2023-01-14,0,0,0,0,0,0,1,0,-0.7071067811865477,0.7071067811865474,12245
2023-01-14,0,0,0,0,0,0,1,0,-0.5000000000000003,0.8660254037844383,11587
2023-01-14,0,0,0,0,0,0,1,0,-0.25881904510252157,0.9659258262890682,6857
2023-01-15,0,0,0,0,0,0,0,1,0.0,1.0,1737
2023-01-15,0,0,0,0,0,0,0,1,0.9659258262890684,0.2588190451025208,747
